ID	lat	lon
1	81.25	-88.75
2	81.25	-86.25
3	81.25	-83.75
4	81.25	-81.25
5	81.25	-78.75
6	81.25	-76.25
7	81.25	-73.75
8	81.25	-71.25
9	81.25	-68.75
10	81.25	-66.25
11	81.25	-63.75
12	81.25	-61.25
13	81.25	-58.75
14	81.25	-56.25
15	81.25	-53.75
16	81.25	-51.25
17	81.25	-48.75
18	81.25	-46.25
19	81.25	-43.75
20	81.25	-41.25
21	81.25	-38.75
22	81.25	-36.25
23	81.25	-33.75
24	81.25	-31.25
25	81.25	-28.75
26	81.25	-26.25
27	81.25	-23.75
28	81.25	-21.25
29	81.25	-18.75
30	81.25	93.75
31	81.25	96.25
32	78.75	-91.25
33	78.75	-88.75
34	78.75	-86.25
35	78.75	-83.75
36	78.75	-81.25
37	78.75	-78.75
38	78.75	-68.75
39	78.75	-66.25
40	78.75	-63.75
41	78.75	-61.25
42	78.75	-58.75
43	78.75	-56.25
44	78.75	-53.75
45	78.75	-51.25
46	78.75	-48.75
47	78.75	-46.25
48	78.75	-43.75
49	78.75	-41.25
50	78.75	-38.75
51	78.75	-36.25
52	78.75	-33.75
53	78.75	-31.25
54	78.75	-28.75
55	78.75	-26.25
56	78.75	-23.75
57	78.75	-21.25
58	78.75	16.25
59	78.75	18.75
60	78.75	98.75
61	78.75	101.25
62	76.25	-111.25
63	76.25	-108.75
64	76.25	-88.75
65	76.25	-68.75
66	76.25	-58.75
67	76.25	-56.25
68	76.25	-53.75
69	76.25	-51.25
70	76.25	-48.75
71	76.25	-46.25
72	76.25	-43.75
73	76.25	-41.25
74	76.25	-38.75
75	76.25	-36.25
76	76.25	-33.75
77	76.25	-31.25
78	76.25	-28.75
79	76.25	-26.25
80	76.25	-23.75
81	76.25	-21.25
82	76.25	58.75
83	76.25	91.25
84	76.25	93.75
85	76.25	96.25
86	76.25	98.75
87	76.25	101.25
88	76.25	103.75
89	76.25	106.25
90	76.25	108.75
91	76.25	111.25
92	76.25	138.75
93	76.25	141.25
94	73.75	-121.25
95	73.75	-118.75
96	73.75	-56.25
97	73.75	-53.75
98	73.75	-51.25
99	73.75	-48.75
100	73.75	-46.25
101	73.75	-43.75
102	73.75	-41.25
103	73.75	-38.75
104	73.75	-36.25
105	73.75	-33.75
106	73.75	-31.25
107	73.75	-28.75
108	73.75	-26.25
109	73.75	-23.75
110	73.75	88.75
111	73.75	91.25
112	73.75	93.75
113	73.75	96.25
114	73.75	98.75
115	73.75	101.25
116	73.75	103.75
117	73.75	106.25
118	73.75	108.75
119	73.75	111.25
120	73.75	141.25
121	71.25	-156.25
122	71.25	-116.25
123	71.25	-113.75
124	71.25	-111.25
125	71.25	-108.75
126	71.25	-106.25
127	71.25	-93.75
128	71.25	-88.75
129	71.25	-86.25
130	71.25	-83.75
131	71.25	-81.25
132	71.25	-78.75
133	71.25	-76.25
134	71.25	-73.75
135	71.25	-53.75
136	71.25	-51.25
137	71.25	-48.75
138	71.25	-46.25
139	71.25	-43.75
140	71.25	-41.25
141	71.25	-38.75
142	71.25	-36.25
143	71.25	-33.75
144	71.25	-31.25
145	71.25	-28.75
146	71.25	-26.25
147	71.25	-23.75
148	71.25	68.75
149	71.25	71.25
150	71.25	73.75
151	71.25	76.25
152	71.25	78.75
153	71.25	81.25
154	71.25	83.75
155	71.25	86.25
156	71.25	88.75
157	71.25	91.25
158	71.25	93.75
159	71.25	96.25
160	71.25	98.75
161	71.25	101.25
162	71.25	103.75
163	71.25	106.25
164	71.25	108.75
165	71.25	111.25
166	71.25	113.75
167	71.25	116.25
168	71.25	118.75
169	71.25	121.25
170	71.25	123.75
171	71.25	126.25
172	71.25	128.75
173	71.25	131.25
174	71.25	133.75
175	71.25	136.25
176	71.25	138.75
177	71.25	141.25
178	71.25	143.75
179	71.25	146.25
180	71.25	148.75
181	71.25	151.25
182	68.75	-161.25
183	68.75	-158.75
184	68.75	-156.25
185	68.75	-153.75
186	68.75	-151.25
187	68.75	-148.75
188	68.75	-146.25
189	68.75	-143.75
190	68.75	-141.25
191	68.75	-138.75
192	68.75	-136.25
193	68.75	-133.75
194	68.75	-131.25
195	68.75	-128.75
196	68.75	-126.25
197	68.75	-123.75
198	68.75	-121.25
199	68.75	-118.75
200	68.75	-116.25
201	68.75	-113.75
202	68.75	-111.25
203	68.75	-108.75
204	68.75	-106.25
205	68.75	-103.75
206	68.75	-96.25
207	68.75	-93.75
208	68.75	-91.25
209	68.75	-88.75
210	68.75	-83.75
211	68.75	-73.75
212	68.75	-71.25
213	68.75	-68.75
214	68.75	-51.25
215	68.75	-48.75
216	68.75	-46.25
217	68.75	-43.75
218	68.75	-41.25
219	68.75	-38.75
220	68.75	-36.25
221	68.75	-33.75
222	68.75	-31.25
223	68.75	-28.75
224	68.75	-26.25
225	68.75	18.75
226	68.75	21.25
227	68.75	23.75
228	68.75	26.25
229	68.75	28.75
230	68.75	31.25
231	68.75	33.75
232	68.75	36.25
233	68.75	61.25
234	68.75	63.75
235	68.75	66.25
236	68.75	68.75
237	68.75	71.25
238	68.75	73.75
239	68.75	76.25
240	68.75	78.75
241	68.75	81.25
242	68.75	83.75
243	68.75	86.25
244	68.75	88.75
245	68.75	91.25
246	68.75	93.75
247	68.75	96.25
248	68.75	98.75
249	68.75	101.25
250	68.75	103.75
251	68.75	106.25
